noise_level,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,algorithm,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
0.2,0.00590721616593162,[23.46354588 25.55333817],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.001,minmax,10-100,0.001,5.0,,,,
0.2,0.00590721616593162,[23.46354588 25.55333817],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.001,zeroone,10-100,0.001,5.0,,,,
0.2,0.005908234853643035,[23.46354116 25.55335907],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.05,minmax,10-100,0.001,5.0,,,,
0.2,0.005908234853643035,[23.46354116 25.55335907],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.05,zeroone,10-100,0.001,5.0,,,,
0.2,0.005909274048706828,[23.46353634 25.55338041],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.1,minmax,10-100,0.001,5.0,,,,
0.2,0.005909274048706828,[23.46353634 25.55338041],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.1,zeroone,10-100,0.001,5.0,,,,
0.2,0.005921721597675524,[23.46347882 25.55363691],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.7,minmax,10-100,0.001,5.0,,,,
0.2,0.005921721597675524,[23.46347882 25.55363691],32,"[[6.32455532]
 [6.32455532]]",TLp-BI,0.7,zeroone,10-100,0.001,5.0,,,,
0.2,0.002479451160823403,[23.31932978 25.82960745],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.001,minmax,10-100,0.01,5.0,,,,
0.2,0.002479451160823403,[23.31932978 25.82960745],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.001,zeroone,10-100,0.01,5.0,,,,
0.2,0.002479534452727416,[23.31933141 25.8296061 ],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.05,minmax,10-100,0.01,5.0,,,,
0.2,0.002479534452727416,[23.31933141 25.8296061 ],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.05,zeroone,10-100,0.01,5.0,,,,
0.2,0.0024796187114664065,[23.31933319 25.8296048 ],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.1,minmax,10-100,0.01,5.0,,,,
0.2,0.0024796187114664065,[23.31933319 25.8296048 ],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.1,zeroone,10-100,0.01,5.0,,,,
0.2,0.0024806403055379314,[23.31935313 25.82958828],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.7,minmax,10-100,0.01,5.0,,,,
0.2,0.0024806403055379314,[23.31935313 25.82958828],98,"[[19.36491673]
 [19.71389751]]",TLp-BI,0.7,zeroone,10-100,0.01,5.0,,,,
0.2,0.0008662981348478503,[23.44665159 26.13804438],702,"[[135.0757754 ]
 [145.54064891]]",TLp-BI,0.001,minmax,10-100,0.05,5.0,,,,
0.2,0.0008662981348478503,[23.44665159 26.13804438],702,"[[135.0757754 ]
 [145.54064891]]",TLp-BI,0.001,zeroone,10-100,0.05,5.0,,,,
0.2,0.0008663006948031133,[23.4539637  26.12443249],701,"[[134.97226957]
 [145.21096366]]",TLp-BI,0.05,minmax,10-100,0.05,5.0,,,,
0.2,0.0008663006948031133,[23.4539637  26.12443249],701,"[[134.97226957]
 [145.21096366]]",TLp-BI,0.05,zeroone,10-100,0.05,5.0,,,,
0.2,0.0008663027727036044,[23.45396369 26.12443241],701,"[[134.97226957]
 [145.21096366]]",TLp-BI,0.1,minmax,10-100,0.05,5.0,,,,
0.2,0.0008663027727036044,[23.45396369 26.12443241],701,"[[134.97226957]
 [145.21096366]]",TLp-BI,0.1,zeroone,10-100,0.05,5.0,,,,
0.2,0.0008663274551149296,[23.45396362 26.1244316 ],701,"[[134.97226957]
 [145.21096366]]",TLp-BI,0.7,minmax,10-100,0.05,5.0,,,,
0.2,0.0008663274551149296,[23.45396362 26.1244316 ],701,"[[134.97226957]
 [145.21096366]]",TLp-BI,0.7,zeroone,10-100,0.05,5.0,,,,
0.2,0.0005909362219648841,[23.76014527 25.63192366],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.001,minmax,10-100,0.1,5.0,,,,
0.2,0.0005909362219648841,[23.76014527 25.63192366],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.001,zeroone,10-100,0.1,5.0,,,,
0.2,0.0005909366394892612,[23.76014524 25.63192367],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.05,minmax,10-100,0.1,5.0,,,,
0.2,0.0005909366394892612,[23.76014524 25.63192367],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.05,zeroone,10-100,0.1,5.0,,,,
0.2,0.0005909371774782001,[23.76014524 25.63192355],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.1,minmax,10-100,0.1,5.0,,,,
0.2,0.0005909371774782001,[23.76014524 25.63192355],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.1,zeroone,10-100,0.1,5.0,,,,
0.2,0.0005909420478427392,[23.76014506 25.63192377],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.7,minmax,10-100,0.1,5.0,,,,
0.2,0.0005909420478427392,[23.76014506 25.63192377],1560,"[[306.92479608]
 [315.91703664]]",TLp-BI,0.7,zeroone,10-100,0.1,5.0,,,,
0.2,0.0002667388303231261,[24.37540031 24.69165017],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,minmax,10-100,0.5,5.0,,,,
